model,test/loss,test/mClassAcc,test/mAcc,params
VisionTransformerDeepResidualOpt,68.16194278564453,0.3476000010967254,0.3476,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerDeepResidualOpt,66.14294436035156,0.3281999990344048,0.3282,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
ResNet18Dropout,0.7621348943710328,0.750299996137619,0.7503,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
ResNet18Dropout,0.8562784677505493,0.7195000052452087,0.7195,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
ResNet18Dropout,1.076008915710449,0.7324000060558319,0.7324,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
ResNet18Dropout,1.0828983240127563,0.7309000015258789,0.7309,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
ResNet18Dropout,0.8162754273414612,0.7276999950408936,0.7277,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
ResNet18Dropout,0.8543726107597351,0.7205000042915344,0.7205,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
ResNet18Dropout,1.2262381437301637,0.7305999994277954,0.7306,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
ResNet18Dropout,1.1305097967147828,0.7159999936819077,0.716,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
